time,open,high,low,close,EMA,EMA,ATR,成交量,均量,■ 正常,■ 没劲了(动力耗尽),■ 蓄力(量大不动),■ 假突破(冲高被打),■ 假跌破(探底弹回),■ 拉锯(多空对打),RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label
1774231200,4387.985,4422.36,4382.635,4396.155,4449.713935306903,4511.850167560027,39.78432723201001,33085,28191.578653083157,0,0,0,0,0,0,35.67318331137885,,,,,,,,
1774232100,4396.165,4417.215,4394.325,4399.355,4445.135850279003,4507.438592361595,38.57758957258074,23109,27707.523543265714,0,0,0,0,0,0,36.51728756648846,,,,,,,,
1774233000,4399.365,4401.12,4369.66,4384.845,4439.654863890002,4502.631000504277,38.069190317396405,31396,28058.807015335646,0,0,0,0,0,0,34.31825651001907,,,,,,,,
1774233900,4384.85,4384.855,4354.68,4360.86,4432.491694445456,4497.071353425677,37.50531958043947,31815,28416.539680541773,0,0,0,0,0,0,30.995569280260597,,,,,,,,
1774234800,4360.865,4378.335,4347.845,4349.36,4424.934267677688,4491.278751330553,37.00422532469378,25524,28141.059710966365,0,0,0,0,0,0,29.519793552674102,,,,,,,,
1774235700,4349.345,4365.815,4347.26,4350.925,4418.206152434262,4485.774682650924,35.686423515787034,26320,27967.62545277909,0,0,0,0,0,0,30.008186269101202,,,,,,,,
1774236600,4350.835,4364.915,4334.795,4342.305,4411.306047667511,4480.148420586182,35.288821836087955,21612,27362.327790609655,0,0,0,0,0,0,28.823439790262057,28.823439790262057,,28.823439790262057,,,,,
1774237500,4342.315,4360.25,4337.165,4352.99,4406.004588788646,4475.161815857312,34.41712027636739,14617,26148.48704864683,0,0,0,0,0,0,32.386873174838996,,,,,,,,
1774238400,4352.99,4370.855,4352.99,4363.8,4402.167807989678,4470.794685823692,33.23482597091256,16891,25266.82161544237,0,0,0,0,0,0,35.88417209667733,,,,,,,,
1774239300,4363.805,4370.655,4361.455,4368.625,4399.118461808798,4466.788031477665,31.518052687275937,8885,23706.648128257384,0,0,0,0,0,0,37.439626809593236,,,,,,,,
