time,open,high,low,close,EMA,EMA,ATR,成交量,均量,■ 正常,■ 没劲了(动力耗尽),■ 蓄力(量大不动),■ 假突破(冲高被打),■ 假跌破(探底弹回),■ 拉锯(多空对打),RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label
1773072000,5099.885,5110.715,5094.76,5104.74,5112.923835244997,5146.907328910365,33.49206814215159,49933,64925.04645573237,0,0,0,0,0,0,50.68641840085865,,,,,,,,
1773075600,5104.76,5106.99,5089.135,5096.12,5112.26486131382,5146.401982354043,32.37513470342644,44696,62998.47060280548,0,0,0,0,0,0,48.258179987581094,,,,,,,,
1773079200,5096.07,5126.645,5092.51,5123.46,5112.703886360337,5146.173703922659,32.50083936746743,34785,60311.47340253829,0,0,0,0,0,0,55.53431336876001,,,,,,,,
1773082800,5123.535,5144.325,5118.375,5141.21,5113.821773169735,5146.124313833877,32.03292226979117,71122,61341.04736420131,0,0,0,0,0,0,59.51483004773183,,,,,,,,
1773086400,5141.265,5148.205,5134.4,5137.91,5114.76640951602,5146.042579367868,30.730927821948967,17888,57202.66190094404,0,0,0,0,0,0,58.466917813493964,,,,,,,,
1773093600,5128.805,5153.285,5117.355,5153.22,5116.274393456568,5146.113996488585,31.102290120381205,23448,53987.932196092224,0,0,0,0,0,0,61.825237184973155,,,,,,,,
1773097200,5153.265,5156.21,5135.64,5139.805,5117.197162340624,5146.0512204041215,30.349983683211097,28222,51534.033891702486,0,0,0,0,0,0,57.44235084852594,,,,,,,,
1773100800,5139.61,5141.435,5124.89,5131.225,5117.747273621384,5145.903695822986,29.363913420124593,33637,49829.5544734451,0,0,0,0,0,0,54.76809269894956,54.76809269894956,,54.76809269894956,,,,,
1773104400,5131.155,5186.455,5124.835,5184.24,5120.354831518584,5146.285151585942,31.667919604401398,70871,51833.501666450335,0,0,0,0,0,0,65.46628846788616,,,,,65.46628846788616,,65.46628846788616,
1773108000,5184.245,5187.055,5164,5166.065,5122.147387145306,5146.481965998022,31.052711061229893,42266,50922.3110315503,0,0,0,0,0,0,60.20871516419333,,,,,,,,
1773111600,5166.055,5173.48,5155.56,5157.615,5123.538273923922,5146.592742455753,30.114660271141982,29278,48860.948076164554,0,0,0,0,0,0,57.88130511789231,,,,,,,,
1773115200,5157.555,5166.645,5154.47,5163.845,5125.118929848474,5146.7644067099245,28.833255966060424,13938,45534.95302129174,0,0,0,0,0,0,59.13553006837355,,,,,,,,
1773118800,5163.84,5179.35,5163.815,5177.87,5127.187599266181,5147.07391510087,27.883380539913304,16199,42741.052733549666,0,0,0,0,0,0,61.887049641094315,,,,,,,,
1773122400,5178.08,5181.1,5171.84,5175.34,5129.075928706723,5147.355169676981,26.553139072776656,16942,40284.00009225922,0,0,0,0,0,0,61.08797962801236,,,,,,,,
1773126000,5175.325,5181.755,5158.395,5181.205,5131.120206012341,5147.691983909051,26.32505771043544,30215,39325.04770252025,0,0,0,0,0,0,62.3031096719721,,,,,,,,
1773129600,5181.155,5195.405,5175.005,5183.48,5133.17353126676,5148.048083571647,25.901839302547167,30231,38458.94792132785,0,0,0,0,0,0,62.78852549124165,,,,,,,,
1773133200,5183.58,5189.505,5180.58,5182.755,5135.117902589632,5148.39342602367,24.689207923793813,26876,37355.810024058526,0,0,0,0,0,0,62.51226744233213,,,,,,,,
1773136800,5182.76,5183.91,5156.5,5177.18,5136.767396605725,5148.679859595574,24.883550214951388,39966,37604.399545576765,0,0,0,0,0,0,60.314665022535586,,,,,,,,
1773140400,5177.225,5192.045,5171.82,5175.26,5138.276910464324,5148.944338604573,24.55079662816917,37107,37557.02816028374,0,0,0,0,0,0,59.53837873027535,59.53837873027535,,59.53837873027535,,,,,
1773144000,5175.42,5189.6,5162.485,5187.085,5140.190953191213,5149.323847673184,24.733954011871422,43034,38078.644525971,0,0,0,0,0,0,62.72074947854278,,,,,,,,
1773147600,5187.01,5228.925,5186.005,5205.34,5142.74581777195,5149.881222323202,26.032957296737752,59704,40138.20219016424,0,0,0,0,0,0,67.03166821842571,,,,,,,,
1773151200,5205.455,5214.55,5185.3,5206.845,5145.259511192658,5150.44802608118,26.262746061256482,45107,40611.421029196215,0,0,0,0,0,0,67.36671297896615,,,,,,,,
